Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
france,20210328,20210728,12.48,1,14,200,0.01,1,4,0.5,0.5,0.12046098,83527.58614,0.592806382,0,100,283.2,31.16711318,4.2,0,0
france,20210328,20210728,12.48,2,14,200,0.01,1,4,0.5,0.5,0.119247602,92811.47425,0.642806646,0,100,171.2,39.31179016,2.2,0,0
france,20210328,20210728,12.48,3,14,200,0.01,1,4,0.5,0.5,0.337450305,130830.5982,0.695251498,0,100,194.8,14.95255056,3,0,0
france,20210328,20210728,12.48,4,14,200,0.01,1,4,0.5,0.5,0.331986296,131759.5679,0.726669496,0,100,87.6,27.64452518,1,0,0
france,20210328,20210728,12.48,5,14,200,0.01,1,4,0.5,0.5,0.64194433,221400.4372,0.613151891,0,100,93.6,33.59280948,1,0,0
france,20210328,20210728,12.48,6,14,200,0.01,1,4,0.5,0.5,0.622682705,202164.1228,0.665463636,0,100,98.8,38.84255164,1,0,0
france,20210328,20210728,12.48,7,14,200,0.01,1,4,0.5,0.5,0.801803586,352265.1193,0.504096415,0,100,138.4,18.4998049,2,0,0
france,20210328,20210728,12.48,8,14,200,0.01,1,4,0.5,0.5,0.868301517,187566.4802,0.71537921,0,100,134.8,14.9959041,2,0,0
france,20210328,20210728,12.48,9,14,200,0.01,1,4,0.5,0.5,0.882206546,285225.555,0.596896428,0,100,150.2,30.30118074,2,0,0
france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.5,0.5,0.931663439,154193.3288,0.722713702,0,100,137,17.20719406,2,0,0
france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.5,0.5,0.023186316,17426.50834,0.776929683,0,100,479.8,35.54874192,7.4,0,0
france,20210328,20211024,18.57,2,14,200,0.01,1,4,0.5,0.5,0.029158489,20223.8895,0.802782344,0,100,243.2,27.22518194,3.6,0,0
france,20210328,20211024,18.57,3,14,200,0.01,1,4,0.5,0.5,0.072664375,23572.13048,0.866004446,0,100,137.2,17.32703708,2,0,0
france,20210328,20211024,18.57,4,14,200,0.01,1,4,0.5,0.5,0.076989576,21802.54243,0.895374489,0,100,88,28.0959973,1,0,0
france,20210328,20211024,18.57,5,14,200,0.01,1,4,0.5,0.5,0.168101226,31461.51989,0.858189602,0,100,100.8,40.79181742,1,0,0
france,20210328,20211024,18.57,6,14,200,0.01,1,4,0.5,0.5,0.148935513,34057.17547,0.853149942,0,100,95.8,35.85258444,1,0,0
france,20210328,20211024,18.57,7,14,200,0.01,1,4,0.5,0.5,0.15987096,40823.66338,0.848547878,0,100,137.6,17.53815282,2,0,0
france,20210328,20211024,18.57,8,14,200,0.01,1,4,0.5,0.5,0.326965654,43309.22684,0.823309375,0,100,116.8,56.88684868,1,0,0
france,20210328,20211024,18.57,9,14,200,0.01,1,4,0.5,0.5,0.33654145,37482.88416,0.843944104,0,100,98.6,38.63999012,1,0,0
france,20210328,20211024,18.57,10,14,200,0.01,1,4,0.5,0.5,0.352868494,24067.34659,0.870986272,0,100,89,29.2093925,1,0,0
france,20210328,20210223,26.63,1,14,200,0.01,1,4,0.5,0.5,0.015701333,11325.20694,0.668765119,0,100,200.2,20.34487256,3,0,0
france,20210328,20210223,26.63,2,14,200,0.01,1,4,0.5,0.5,0.01733353,12842.35593,0.733933853,0,100,151.2,31.39899048,2,0,0
france,20210328,20210223,26.63,3,14,200,0.01,1,4,0.5,0.5,0.067659974,20553.11587,0.769446994,0,100,137,17.032381,2,0,0
france,20210328,20210223,26.63,4,14,200,0.01,1,4,0.5,0.5,0.07893393,20405.65873,0.812105169,0,100,97.2,37.11296508,1,0,0
france,20210328,20210223,26.63,5,14,200,0.01,1,4,0.5,0.5,0.153832567,24595.87967,0.799128535,0,100,119,46.89996252,1.2,0,0
france,20210328,20210223,26.63,6,14,200,0.01,1,4,0.5,0.5,0.132998087,24590.9715,0.811793825,0,100,127.2,7.0099949,2,0,0
france,20210328,20210223,26.63,7,14,200,0.01,1,4,0.5,0.5,0.125679682,28429.99144,0.821641006,0,100,168.2,47.95516418,2,0,0
france,20210328,20210223,26.63,8,14,200,0.01,1,4,0.5,0.5,0.187510883,26363.15981,0.816176794,0,100,128.6,8.78141002,2,0,0
france,20210328,20210223,26.63,9,14,200,0.01,1,4,0.5,0.5,0.151430814,25514.10246,0.823505517,0,100,113,53.10579008,1,0,0
france,20210328,20210223,26.63,10,14,200,0.01,1,4,0.5,0.5,0.161698309,18562.20315,0.817303697,0,100,115.4,55.48063912,1,0,0
france,20210328,20210822,31.07,1,14,200,0.01,1,4,0.5,0.5,0.01870346,12080.24076,0.709552954,0,100,275,34.96766196,4,0,0
france,20210328,20210822,31.07,2,14,200,0.01,1,4,0.5,0.5,0.02208853,16145.77509,0.710228789,0,100,212.2,32.19763546,3,0,0
france,20210328,20210822,31.07,3,14,200,0.01,1,4,0.5,0.5,0.073383653,25266.82838,0.746651967,0,100,121,12.78899382,1.8,0,0
france,20210328,20210822,31.07,4,14,200,0.01,1,4,0.5,0.5,0.093057786,29066.70808,0.761449606,0,100,76.6,16.47182934,1,0,0
france,20210328,20210822,31.07,5,14,200,0.01,1,4,0.5,0.5,0.163237032,37746.94103,0.723178741,0,100,93.2,33.16680598,1,0,0
france,20210328,20210822,31.07,6,14,200,0.01,1,4,0.5,0.5,0.148922296,40726.63835,0.72171119,0,100,96.2,36.21671944,1,0,0
france,20210328,20210822,31.07,7,14,200,0.01,1,4,0.5,0.5,0.137740093,41704.88982,0.767863934,0,100,139,18.9585036,2,0,0
france,20210328,20210822,31.07,8,14,200,0.01,1,4,0.5,0.5,0.22703591,41821.43036,0.740368147,0,100,118.2,34.26622486,1.4,0,0
france,20210328,20210822,31.07,9,14,200,0.01,1,4,0.5,0.5,0.205966383,41635.71132,0.716671482,0,100,145.2,25.24492852,2,0,0
france,20210328,20210822,31.07,10,14,200,0.01,1,4,0.5,0.5,0.214952867,29472.50532,0.702624386,0,100,156.8,36.99682242,2,0,0
